header,title,titleUrl,description,time,products,details,activityControls,timestamp,date,query,is_edu_search
YouTube,Watched Google Cloud: Your one-stop shop for AI and everything cloud,https://www.youtube.com/watch?v=BoiX4OB9s1A,Watched at 08:32,2026-07-11T03:02:46.555Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",2026-07-11 03:02:46.555000+00:00,2026-07-11,Watched Google Cloud: Your one-stop shop for AI and everything cloud,0
YouTube,Searched for how to implement my sql skills in real time using postgresql,https://www.youtube.com/results?search_query=how+to+implement+my+sql+skills+in+real+time+using+postgresql,,2026-05-18T07:50:32.778Z,['YouTube'],,['YouTube search history'],2026-05-18 07:50:32.778000+00:00,2026-05-18,how to implement my sql skills in real time using postgresql,1
YouTube,Searched for how to implement my sql skills in real time ,https://www.youtube.com/results?search_query=how+to+implement+my+sql+skills+in+real+time+,,2026-05-18T07:49:51.579Z,['YouTube'],,['YouTube search history'],2026-05-18 07:49:51.579000+00:00,2026-05-18,how to implement my sql skills in real time ,1
YouTube,Searched for percentage easy tricks ,https://www.youtube.com/results?search_query=percentage+easy+tricks+,,2026-05-03T07:34:55.461Z,['YouTube'],,['YouTube search history'],2026-05-03 07:34:55.461000+00:00,2026-05-03,percentage easy tricks ,0
YouTube,Searched for percentage,https://www.youtube.com/results?search_query=percentage,,2026-05-03T07:34:36.913Z,['YouTube'],,['YouTube search history'],2026-05-03 07:34:36.913000+00:00,2026-05-03,percentage,0
YouTube,Searched for single page application using angularjs,https://www.youtube.com/results?search_query=single+page+application+using+angularjs,,2026-05-02T12:57:43.548Z,['YouTube'],,['YouTube search history'],2026-05-02 12:57:43.548000+00:00,2026-05-02,single page application using angularjs,0
YouTube,Searched for angular js into,https://www.youtube.com/results?search_query=angular+js+into,,2026-05-02T11:41:03.127Z,['YouTube'],,['YouTube search history'],2026-05-02 11:41:03.127000+00:00,2026-05-02,angular js into,0
YouTube,Searched for how to create folder in repository in github,https://www.youtube.com/results?search_query=how+to+create+folder+in+repository+in+github,,2026-04-23T09:11:34.360Z,['YouTube'],,['YouTube search history'],2026-04-23 09:11:34.360000+00:00,2026-04-23,how to create folder in repository in github,0
YouTube,Searched for how to push jupyter notebook to github repository,https://www.youtube.com/results?search_query=how+to+push+jupyter+notebook+to+github+repository,,2026-04-23T08:53:30.871Z,['YouTube'],,['YouTube search history'],2026-04-23 08:53:30.871000+00:00,2026-04-23,how to push jupyter notebook to github repository,0
YouTube,Searched for how to push jupyter notebook to github repository,https://www.youtube.com/results?search_query=how+to+push+jupyter+notebook+to+github+repository,,2026-04-23T04:01:12.099Z,['YouTube'],,['YouTube search history'],2026-04-23 04:01:12.099000+00:00,2026-04-23,how to push jupyter notebook to github repository,0
YouTube,Searched for how to use github for projects,https://www.youtube.com/results?search_query=how+to+use+github+for+projects,,2026-04-23T03:41:58.193Z,['YouTube'],,['YouTube search history'],2026-04-23 03:41:58.193000+00:00,2026-04-23,how to use github for projects,0
YouTube,Searched for interesting ,https://www.youtube.com/results?search_query=interesting+,,2026-03-12T07:19:17.336Z,['YouTube'],,['YouTube search history'],2026-03-12 07:19:17.336000+00:00,2026-03-12,interesting ,0
