header,title,titleUrl,time,products,details,activityControls,subtitles,description,timestamp,date,hour,day_of_week,channel,video_title,activity_type,cleaned_channel,focus_category,is_edu_watch
YouTube,"Watched Module 1 Research Methodology RM & IPR All Concept Explained 5th Sem  Common for all CSE,ECE,ME VTU",https://www.youtube.com/watch?v=SSvZ5UqhkxY,2026-07-11T03:12:40.458Z,['YouTube'],,['YouTube watch history'],"[{'name': 'VTU Academy', 'url': 'https://www.youtube.com/channel/UCgg-F4DemaLHGNk523ep1pg'}]",,2026-07-11 03:12:40.458000+00:00,2026-07-11,3,Saturday,VTU Academy,"Watched Module 1 Research Methodology RM & IPR All Concept Explained 5th Sem  Common for all CSE,ECE,ME VTU",Video,,Data Science & Tech,1
YouTube,Watched Research Methodology and IPR | BRMK557| Module-2|Important questions|VTU|edu yodha rmi vtu|MQP|PYQ,https://www.youtube.com/watch?v=pCpkx5PbhqQ,2026-07-11T03:04:03.522Z,['YouTube'],,['YouTube watch history'],"[{'name': 'EDU  YODHA', 'url': 'https://www.youtube.com/channel/UCCJ7CXRL2PyNHR9lKVmIIwg'}]",,2026-07-11 03:04:03.522000+00:00,2026-07-11,3,Saturday,EDU  YODHA,Watched Research Methodology and IPR | BRMK557| Module-2|Important questions|VTU|edu yodha rmi vtu|MQP|PYQ,Video,,General Entertainment / Other,0
YouTube,Watched Research Methodology and IPR|BRMK557| Module 1 | PYQ| MQP| important questions| VTU | edu yodha| rmi,https://www.youtube.com/watch?v=gSzxxHpd_AI,2026-07-11T03:02:53.879Z,['YouTube'],,['YouTube watch history'],"[{'name': 'EDU  YODHA', 'url': 'https://www.youtube.com/channel/UCCJ7CXRL2PyNHR9lKVmIIwg'}]",,2026-07-11 03:02:53.879000+00:00,2026-07-11,3,Saturday,EDU  YODHA,Watched Research Methodology and IPR|BRMK557| Module 1 | PYQ| MQP| important questions| VTU | edu yodha| rmi,Video,,General Entertainment / Other,0
YouTube,Watched Google Cloud: Your one-stop shop for AI and everything cloud,https://www.youtube.com/watch?v=BoiX4OB9s1A,2026-07-11T03:02:46.555Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",,Watched at 08:32,2026-07-11 03:02:46.555000+00:00,2026-07-11,3,Saturday,Unknown,Watched Google Cloud: Your one-stop shop for AI and everything cloud,Video,Youtube Shorts / Unlisted,Data Science & Tech,1
YouTube,Watched How to Speak More Clearly at Work (Even If You’re an Introvert),https://www.youtube.com/watch?v=nxgF9NfYjRc,2026-07-10T12:17:46.304Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Jessica Chen', 'url': 'https://www.youtube.com/channel/UCJ9LFULVzS3vKc8mcPuXoBg'}]",,2026-07-10 12:17:46.304000+00:00,2026-07-10,12,Friday,Jessica Chen,Watched How to Speak More Clearly at Work (Even If You’re an Introvert),Video,,General Entertainment / Other,0
YouTube,Watched Zinnia Aurora vs Deepak Vohra Sir 😳🔥 | UPSC Mock Interview,https://www.youtube.com/watch?v=-CTCp3Z3B6Q,2026-06-13T10:42:12.238Z,['YouTube'],,['YouTube watch history'],"[{'name': 'UPSC Girlie', 'url': 'https://www.youtube.com/channel/UC5yNXTNkE8Fb9dPIw77PIJQ'}]",,2026-06-13 10:42:12.238000+00:00,2026-06-13,10,Saturday,UPSC Girlie,Watched Zinnia Aurora vs Deepak Vohra Sir 😳🔥 | UPSC Mock Interview,Video,,Education & Exam Prep,1
YouTube,Watched She Is A Deputy Collector Now 👑 UPSC Interview | IAS Aspirants,https://www.youtube.com/watch?v=xZLp_QTeC9k,2026-06-13T10:42:00.447Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Project IAS', 'url': 'https://www.youtube.com/channel/UCli7jG1YxJQSkz8Lf0hj64A'}]",,2026-06-13 10:42:00.447000+00:00,2026-06-13,10,Saturday,Project IAS,Watched She Is A Deputy Collector Now 👑 UPSC Interview | IAS Aspirants,Video,,Education & Exam Prep,1
YouTube,Watched Very good suggestion for upsc aspirants #upscmotvation #motivation #civilserviceexam #ias #upsc,https://www.youtube.com/watch?v=hR1QeSqK0TY,2026-06-13T10:41:47.673Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Learn by Interview ', 'url': 'https://www.youtube.com/channel/UCczxiSV3Id4DaD9rJLqnz8A'}]",,2026-06-13 10:41:47.673000+00:00,2026-06-13,10,Saturday,Learn by Interview ,Watched Very good suggestion for upsc aspirants #upscmotvation #motivation #civilserviceexam #ias #upsc,Video,,Education & Exam Prep,1
YouTube,"Watched ""She Said Exactly What Deepak Sir Wanted to Hear!"" 😳🔥🥶 UPSC Mock Interview",https://www.youtube.com/watch?v=yF4QHiD1soo,2026-06-13T10:40:53.106Z,['YouTube'],,['YouTube watch history'],"[{'name': 'UPSC Girlie', 'url': 'https://www.youtube.com/channel/UC5yNXTNkE8Fb9dPIw77PIJQ'}]",,2026-06-13 10:40:53.106000+00:00,2026-06-13,10,Saturday,UPSC Girlie,"Watched ""She Said Exactly What Deepak Sir Wanted to Hear!"" 😳🔥🥶 UPSC Mock Interview",Video,,Data Science & Tech,1
YouTube,Watched Future IAS: Viral Interview Clip 💼 | Upsc Interview,https://www.youtube.com/watch?v=KdDPaQTuRIs,2026-06-13T10:40:06.251Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IAS Academy ', 'url': 'https://www.youtube.com/channel/UCnVrkUeqU8Gwb-y6XiLa9pw'}]",,2026-06-13 10:40:06.251000+00:00,2026-06-13,10,Saturday,IAS Academy ,Watched Future IAS: Viral Interview Clip 💼 | Upsc Interview,Video,,Education & Exam Prep,1
YouTube,Watched Aura Unmatchable (Part II) 💭 / Upsc Interview,https://www.youtube.com/watch?v=qlluctf1u88,2026-06-13T10:39:09.263Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Intense Motivation', 'url': 'https://www.youtube.com/channel/UC-5lgZLGOB1p_XbZkZefiYA'}]",,2026-06-13 10:39:09.263000+00:00,2026-06-13,10,Saturday,Intense Motivation,Watched Aura Unmatchable (Part II) 💭 / Upsc Interview,Video,,Education & Exam Prep,1
